Constituency Ainm,Year,Full Name,,
Cork North Central,2020,Ger Keohane,M,Excluded
Cork North Central,2020,John Maher,M,Excluded
Cork North Central,2020,Oliver Moran,M,Excluded
Cork North Central,2020,Sandra Murphy,F,Excluded
Cork North Central,2020,Diarmaid O Cadhla,M,Excluded
Cork North Central,2020,Stephen James O'Donovan,M,Excluded
Cork North Central,2020,Kenneth O'Flynn,M,
Cork North Central,2020,Sean O'Leary,M,Excluded
Cork North Central,2020,Lorraine O'Neill,F,Excluded
Cork North Central,2020,Padraig O'Sullivan,M,Elected
Cork North Central,2020,Finian Toomey,M,Excluded
Cork North West,2020,MICHAEL CREED,M,Elected
Cork North West,2020,COLETTE FINN,F,Excluded
Cork North West,2020,BECKY KEALY,F,Excluded
Cork North West,2020,CIARï¿½N McCARTHY,M,
Cork North West,2020,AINDRIAS MOYNIHAN,M,Elected
Cork North West,2020,MICHAEL MOYNIHAN,M,Elected
Cork North West,2020,TARA NIC DOMHNAILL,F,Excluded
Cork North West,2020,SEAN O'LEARY,M,Excluded
Cork North West,2020,JOHN PAUL O'SHEA,M,Excluded
Cork South Central,2020,Lorna Bogue,F,
Cork South Central,2020,Jerry Buttimer,M,Excluded
Cork South Central,2020,Simon Coveney,M,Elected
Cork South Central,2020,Anna Daly,F,Excluded
Cork South Central,2020,Paudie Dineen,M,Excluded
Cork South Central,2020,John Donohoe,M,Excluded
Cork South Central,2020,Ciara Kennedy,F,Excluded
Cork South Central,2020,Micheï¿½l Martin,M,Elected
Cork South Central,2020,Michael McGrath,M,Elected
Cork South Central,2020,Bobby Murray Walsh,M,Excluded
Cork South Central,2020,William O'Brien,M,Excluded
Cork South Central,2020,Patricia O'Dwyer,F,Excluded
Cork South Central,2020,Donnchadh ï¿½ Laoghaire,M,Elected
Cork South Central,2020,Sean O'Leary,M,Excluded
Cork South West,2020,Holly Cairns,F,Elected
Cork South West,2020,Karen Coakley,F,Excluded
Cork South West,2020,Alan Coleman,M,Excluded
Cork South West,2020,Michael Collins,M,Elected
Cork South West,2020,Bernadette Connolly,F,Excluded
Cork South West,2020,Paul Hayes,M,Excluded
Cork South West,2020,Tim Lombard,M,
Cork South West,2020,Margaret Murphy O'Mahony,F,Excluded
Cork South West,2020,Kevin O'Connor,M,Excluded
Cork South West,2020,Sean O'Leary,M,Excluded
Cork South West,2020,Christopher O'Sullivan,M,Elected
Cork South West,2020,Mairead Ruane,F,Excluded
Donegal,2020,Peter Casey,M,Excluded
Donegal,2020,Pearse Doherty,M,Elected
Donegal,2020,Pat The Cope Gallagher,M,Excluded
Donegal,2020,Martin M. Harley,M,Excluded
Donegal,2020,Pï¿½draig MacLochlainn,M,Elected
Donegal,2020,Charlie McConalogue,M,Elected
Donegal,2020,Niall McConnell,M,Excluded
Donegal,2020,Arthur Desmond Mc Guinness,M,Excluded
Donegal,2020,Joe McHugh,M,Elected
Donegal,2020,John O'Donnell,M,Excluded
Donegal,2020,Thomas Pringle,M,Elected
Donegal,2020,Mary T. Sweeney,F,Excluded
Donegal,2020,Miichael White,M,Excluded
Dublin Bay North,2020,Richard Bruton,M,Elected
Dublin Bay North,2020,Michael Paul Burke,M,Excluded
Dublin Bay North,2020,Conor Creaven,M,Excluded
Dublin Bay North,2020,Brian Garrigan,M,Excluded
Dublin Bay North,2020,Ben Gilroy,M,Excluded
Dublin Bay North,2020,Seï¿½n Haughey,M,Elected
Dublin Bay North,2020,David Healy,M,
Dublin Bay North,2020,Deirdre Heney,F,Excluded
Dublin Bay North,2020,John Lyons,M,Excluded
Dublin Bay North,2020,Linda McEvoy,F,Excluded
Dublin Bay North,2020,Denise Mitchell,F,Elected
Dublin Bay North,2020,Bernard Mulvany,M,Excluded
Dublin Bay North,2020,Catherine Noone,F,Excluded
Dublin Bay North,2020,Michael O'Brien,M,Excluded
Dublin Bay North,2020,Cian O'Callaghan,M,Elected
Dublin Bay North,2020,Proinsias ï¿½ Conarï¿½in,M,Excluded
Dublin Bay North,2020,Sean O'Leary,M,Excluded
Dublin Bay North,2020,Aodhï¿½n ï¿½'Rï¿½ordï¿½in,M,Elected
Dublin Bay South,2020,Chris Andrews,M,Elected
Dublin Bay South,2020,Norma Burke,F,Excluded
Dublin Bay South,2020,Peter Dooley,M,Excluded
Dublin Bay South,2020,Sarah Durcan,F,Excluded
Dublin Bay South,2020,Mannix Flynn,M,Excluded
Dublin Bay South,2020,Jacqui Gilbourne,F,Excluded
Dublin Bay South,2020,Kevin Humphreys,M,Excluded
Dublin Bay South,2020,John Dominic Keigher,M,Excluded
Dublin Bay South,2020,Annette Mooney,F,Excluded
Dublin Bay South,2020,Eoghan Murphy,M,Elected
Dublin Bay South,2020,Jim O'Callaghan,M,Elected
Dublin Bay South,2020,Kate O'Connell,F,
Dublin Bay South,2020,Sean O'Leary,M,Excluded
Dublin Bay South,2020,Eamonn Ryan,M,Elected
Dublin Bay South,2020,Ben Scallan,M,Excluded
Dublin Central,2020,Gillian Brien,F,Excluded
Dublin Central,2020,Christy Burke,M,
Dublin Central,2020,Patrick Clohessy,M,Excluded
Dublin Central,2020,Joe Costello,M,Excluded
Dublin Central,2020,Paschal Donohoe,M,Elected
Dublin Central,2020,Deirdre Duffy,F,Excluded
Dublin Central,2020,Mary Fitzpatrick,F,Excluded
Dublin Central,2020,Gary Gannon,M,Elected
Dublin Central,2020,Rita Harrold,F,Excluded
Dublin Central,2020,Neasa Hourigan,F,Elected
Dublin Central,2020,Mary Lou McDonald,F,Elected
Dublin Central,2020,Sarah Louise Mulligan,F,Excluded
Dublin Central,2020,Sean O'Leary,M,Excluded
Dublin Central,2020,ï¿½ilis Ryan,F,Excluded
Dublin Central,2020,Ian Noel Smyth,M,Excluded
Dublin Central,2020,Dolores Webster,F,Excluded
Dublin Fingal,2020,Glenn Brady,M,Excluded
Dublin Fingal,2020,Lorraine Clifford-Lee,F,Excluded
Dublin Fingal,2020,Alan Farrell,M,Elected
Dublin Fingal,2020,Terry Kelleher,M,Excluded
Dublin Fingal,2020,Dean Mulligan,M,
Dublin Fingal,2020,Paul Mulville,M,Excluded
Dublin Fingal,2020,Tony Murphy,M,Excluded
Dublin Fingal,2020,Darragh O'Brien,M,Elected
Dublin Fingal,2020,Joe O'Brien,M,Elected
Dublin Fingal,2020,Gemma O'Doherty,F,Excluded
Dublin Fingal,2020,Louise O'Reilly,F,Elected
Dublin Fingal,2020,James Reilly,M,Excluded
Dublin Fingal,2020,Alistair Smith,M,Excluded
Dublin Fingal,2020,Duncan Smith,M,Elected
Dublin Fingal,2020,Sandra Sweetman,F,Excluded
Dublin Fingal,2020,Oghenetano John Uwhumiakpor,M,Excluded
Dublin Mid-West,2020,Vicki Casserly,F,Excluded
Dublin Mid-West,2020,John Curran,M,
Dublin Mid-West,2020,David Gardiner,M,Excluded
Dublin Mid-West,2020,Paul Nicholas Gogarty,M,Excluded
Dublin Mid-West,2020,Emer Higgins,F,Elected
Dublin Mid-West,2020,Peter Kavanagh,M,Excluded
Dublin Mid-West,2020,Gino Kenny,M,Elected
Dublin Mid-West,2020,Caitrï¿½ona Mc Clean,F,Excluded
Dublin Mid-West,2020,Eoin ï¿½ Broin,M,Elected
Dublin Mid-West,2020,Francis Timmons,M,Excluded
Dublin Mid-West,2020,Joanna Tuffy,F,Excluded
Dublin Mid-West,2020,Mark Ward,M,Elected
Dublin North West,2020,Caroline Conroy,F,Excluded
Dublin North West,2020,Ian Croft,M,Excluded
Dublin North West,2020,Dessie Ellis,M,Elected
Dublin North West,2020,Niall Fitzgerald,M,Excluded
Dublin North West,2020,Paul McAuliffe,M,Elected
Dublin North West,2020,Andrew Montague,M,Excluded
Dublin North West,2020,Conor Reddy,M,
Dublin North West,2020,Stephen Redmond,M,Excluded
Dublin North West,2020,Noel Rock,M,Excluded
Dublin North West,2020,Rï¿½isï¿½n Shortall,F,Elected
Dublin Rathdown,2020,Shay Brennan,M,Excluded
Dublin Rathdown,2020,Deirdre Conroy,F,Excluded
Dublin Rathdown,2020,Liam Coughlan,M,Excluded
Dublin Rathdown,2020,Josepha Madigan,F,Elected
Dublin Rathdown,2020,Catherine Martin,F,Elected
Dublin Rathdown,2020,Lettie McCarthy,F,Excluded
Dublin Rathdown,2020,Sorcha Nic Cormaic Nic Cormaic,F,Excluded
Dublin Rathdown,2020,Patrick Noonan,M,Excluded
Dublin Rathdown,2020,Eoghan ï¿½ Ceannabhï¿½in,M,Excluded
Dublin Rathdown,2020,Neale Richmond,M,Elected
Dublin Rathdown,2020,Shane Ross,M,Excluded
Dublin South Central,2020,Catherine Ardagh,F,Excluded
Dublin South Central,2020,Catherine Byrne,F,Excluded
Dublin South Central,2020,Joan Collins,F,Elected
Dublin South Central,2020,Patrick Costello,M,Elected
Dublin South Central,2020,Tara Deacy,F,Excluded
Dublin South Central,2020,Robert Foley,M,Excluded
Dublin South Central,2020,Serina Ervine,F,Excluded
Dublin South Central,2020,Alan Kerrigan,M,Excluded
Dublin South Central,2020,Rebecca Moynihan,F,Excluded
Dublin South Central,2020,Richard Murray,M,Excluded
Dublin South Central,2020,Sean O'Leary,M,Excluded
Dublin South Central,2020,Aengus ï¿½'Snodaigh,M,Elected
Dublin South Central,2020,Brï¿½d Smith,F,Elected
Dublin South West,2020,Ciarï¿½n Ahern,M,Excluded
Dublin South West,2020,Carly Bailey,F,Excluded
Dublin South West,2020,Colm Brophy,M,Elected
Dublin South West,2020,Anne Marie Condren,F,Excluded
Dublin South West,2020,Seï¿½n Crowe,M,Elected
Dublin South West,2020,Mick Duff,M,Excluded
Dublin South West,2020,Francis Noel Duffy,M,Elected
Dublin South West,2020,Philip Dwyer,M,Excluded
Dublin South West,2020,Sandra Fay,F,Excluded
Dublin South West,2020,John Lahart,M,Elected
Dublin South West,2020,Paul Murphy,M,Elected
Dublin South West,2020,Charlie O'Connor,M,Excluded
Dublin South West,2020,Deirdre O'Donovan,F,Excluded
Dublin South West,2020,Colm O'Keeffe,M,Excluded
Dublin South West,2020,Ellen O'Malley Dunlop,F,Excluded
Dublin South West,2020,Katherine Zappone,F,
Dublin West,2020,Joan Burton,F,Excluded
Dublin West,2020,Peter Casey,M,Excluded
Dublin West,2020,Jack Chambers,M,Elected
Dublin West,2020,Ruth Coppinger,F,
Dublin West,2020,Emer Currie,F,Excluded
Dublin West,2020,Paul Donnelly,M,Elected
Dublin West,2020,Edward MacManus,M,Excluded
Dublin West,2020,Roderic O'Gorman,M,Elected
Dublin West,2020,Sean O'Leary,M,Excluded
Dublin West,2020,Stephen O'Loughlin,M,Excluded
Dublin West,2020,Aengus ï¿½ Maolï¿½in,M,Excluded
Dublin West,2020,Leo Varadkar,M,Elected
Dun Laoghaire,2020,Richard Boyd Barrett,M,Elected
Dun Laoghaire,2020,Jennifer Carroll MacNeill,F,Elected
Dun Laoghaire,2020,Cormac Devlin,M,Elected
Dun Laoghaire,2020,Mary Hanafin,F,Excluded
Dun Laoghaire,2020,Mary Mitchell O'Connor,F,
Dun Laoghaire,2020,Shane O'Brien,M,Excluded
Dun Laoghaire,2020,Juliet O'Connell,F,Excluded
Dun Laoghaire,2020,Con ï¿½g ï¿½ Laoghaire,M,Excluded
Dun Laoghaire,2020,Dave Quinn,M,Excluded
Dun Laoghaire,2020,Ossian Smyth,M,Elected
Dun Laoghaire,2020,Mairï¿½ad Tï¿½ibï¿½n,F,Excluded
Dun Laoghaire,2020,Barry Ward,M,Excluded
Dun Laoghaire,2020,John Waters,M,Excluded
Galway East,2020,Seï¿½n CANNEY,M,Elected
Galway East,2020,Ciaran CANNON,M,Elected
Galway East,2020,Donagh Mark KILLILEA,M,Excluded
Galway East,2020,Deaglï¿½n MAC CANNA,M,Excluded
Galway East,2020,Eoin MADDEN,M,Excluded
Galway East,2020,Louis O'HARA,M,
Galway East,2020,David O'REILLY,M,Excluded
Galway East,2020,Anne RABBITTE,F,Elected
Galway East,2020,Peter REID,M,Excluded
Galway East,2020,Peter ROCHE,M,Excluded
Galway East,2020,Marian SPELMAN,F,Excluded
Galway East,2020,"Martin ""Jonesy"" WARD",M,Excluded
Galway West,2020,Conor Burke,M,Excluded
Galway West,2020,Catherine Connolly,F,Elected
Galway West,2020,Cormac ï¿½ Corcorï¿½in,M,Excluded
Galway West,2020,Ollie Crowe,M,Excluded
Galway West,2020,Mike Cubbard,M,Excluded
Galway West,2020,ï¿½amon Cuï¿½v ï¿½,M,Elected
Galway West,2020,Mairï¿½ad Farrell,F,Elected
Galway West,2020,Daragh O Flaherty,M,Excluded
Galway West,2020,Noel Grealish,M,Elected
Galway West,2020,Seï¿½n Kyne,M,Excluded
Galway West,2020,Joe Loughnane,M,Excluded
Galway West,2020,Nï¿½all Mc Nelis,M,Excluded
Galway West,2020,Hildegarde Naughton,F,Elected
Galway West,2020,Pauline O'Reilly,F,Excluded
Galway West,2020,Niall ï¿½ Tuathail,M,Excluded
Kerry,2020,John Bowler,M,Excluded
Kerry,2020,John Brassil,M,
Kerry,2020,Ted Cronin,M,Excluded
Kerry,2020,Pa Daly,M,Elected
Kerry,2020,Norma Foley,F,Elected
Kerry,2020,Sonny Foran,M,Excluded
Kerry,2020,Brendan Griffin,M,Elected
Kerry,2020,Danny Healy-Rae,M,Elected
Kerry,2020,Michael Healy-Rae,M,Elected
Kerry,2020,Mike Kennelly,M,Excluded
Kerry,2020,Norma Moriarty,F,Excluded
Kerry,2020,Cleo Murphy,F,Excluded
Kerry,2020,Sean O'Leary,M,Excluded
Kildare North,2020,Rï¿½ada Cronin,F,Elected
Kildare North,2020,Bernard Durkan,M,Elected
Kildare North,2020,James Lawless,M,Elected
Kildare North,2020,Anthony Lawlor,M,Excluded
Kildare North,2020,Paul Mahon,M,Excluded
Kildare North,2020,Vincent P. Martin,M,Excluded
Kildare North,2020,David Monaghan,M,Excluded
Kildare North,2020,Catherine Murphy,F,Elected
Kildare North,2020,Sï¿½amus ï¿½ Riain,M,Excluded
Kildare North,2020,Frank O'Rourke,M,
Kildare North,2020,Emmet Stagg,M,Excluded
Kildare North,2020,Wayne Swords,M,Excluded
Kildare South,2020,Cathal Berry,M,Elected
Kildare South,2020,Suzanne Doyle,F,Excluded
Kildare South,2020,Linda Hayden,F,Excluded
Kildare South,2020,Martin Heydon,M,Elected
Kildare South,2020,Ronan Maher,M,Excluded
Kildare South,2020,Fiona McLoughlin Healy,F,Excluded
Kildare South,2020,Anita Mhic Gib,F,Excluded
Kildare South,2020,Fiona O'Loughlin,F,Excluded
Kildare South,2020,Patricia Ryan,F,Elected
Kildare South,2020,Rï¿½isï¿½n Uï¿½ Bhroin,F,Excluded
Kildare South,2020,Mark Wall,M,Excluded
Laois-Offaly,2020,Marcella Corcoran Kennedy,F,Excluded
Laois-Offaly,2020,Barry Cowen,M,Elected
Laois-Offaly,2020,John Daly,M,Excluded
Laois-Offaly,2020,Charlie Flanagan,M,Elected
Laois-Offaly,2020,Pauline Flanagan,F,Excluded
Laois-Offaly,2020,Sean Fleming,M,Elected
Laois-Offaly,2020,Pippa Hackett,F,
Laois-Offaly,2020,John Leahy,M,Excluded
Laois-Offaly,2020,Carol Nolan,F,Elected
Laois-Offaly,2020,Peter Ormond,M,Excluded
Laois-Offaly,2020,Noel O'Rourke,M,Excluded
Laois-Offaly,2020,Ken Smollen,M,Excluded
Laois-Offaly,2020,Brian Stanley,M,Elected
Laois-Offaly,2020,Noel Touhy,M,Excluded
Laois-Offaly,2020,Stephen Tynan,M,Excluded
Limerick City,2020,Rebecca Barrett,F,Excluded
Limerick City,2020,Jenny Blake,F,Excluded
Limerick City,2020,Maria Byrne,F,Excluded
Limerick City,2020,Mary Cahillane,F,Excluded
Limerick City,2020,James Collins,M,Excluded
Limerick City,2020,Frankie Daly,M,
Limerick City,2020,Brian Leddin,M,Elected
Limerick City,2020,Willie O'Dea,M,Elected
Limerick City,2020,Kieran O'Donnell,M,Elected
Limerick City,2020,Jan O'Sullivan,F,Excluded
Limerick City,2020,Maurice Quinlivan,M,Elected
Limerick City,2020,Michael Ryan,M,Excluded
Limerick County,2020,Michael Collins,M,Excluded
Limerick County,2020,Niall Collins,M,Elected
Limerick County,2020,Con Cremin,M,Excluded
Limerick County,2020,John Dalton,M,Excluded
Limerick County,2020,Claire Keating,F,Excluded
Limerick County,2020,Tom Neville,M,Excluded
Limerick County,2020,Cristin Ni Mhaoldhomhnaigh,F,Excluded
Limerick County,2020,Seighin O'Ceallaigh,M,
Limerick County,2020,Robert O'Donnell,M,Excluded
Limerick County,2020,Conor O'Donoghue,M,Excluded
Limerick County,2020,Richard O'Donoghue,M,Elected
Limerick County,2020,Patrick O'Donovan,M,Elected
Longford-Westmeath,2020,Peter Burke,M,Elected
Longford-Westmeath,2020,Micheï¿½l Carrigy,M,Excluded
Longford-Westmeath,2020,Sorca Clarke,F,Elected
Longford-Westmeath,2020,Joe Flaherty,M,Elected
Longford-Westmeath,2020,Louise Heavin,F,Excluded
Longford-Westmeath,2020,Donal Jackson,M,Excluded
Longford-Westmeath,2020,Anna Kavanagh,F,Excluded
Longford-Westmeath,2020,Frank Kilbride,M,Excluded
Longford-Westmeath,2020,Alan Budda Mangan,M,Excluded
Longford-Westmeath,2020,Gab McFadden,F,Excluded
Longford-Westmeath,2020,Kevin Boxer Moran,M,Excluded
Longford-Westmeath,2020,Dom Parker,M,Excluded
Longford-Westmeath,2020,James Reynolds,M,Excluded
Longford-Westmeath,2020,Barbara Smyth,F,Excluded
Longford-Westmeath,2020,Robert Troy,M,Elected
Louth,2020,Topanga Bird,F,Excluded
Louth,2020,David Bradley,M,Excluded
Louth,2020,Declan Breathnach,M,Excluded
Louth,2020,Albert D Byrne,M,Excluded
Louth,2020,James Byrne,M,Excluded
Louth,2020,Mark Dearey,M,Excluded
Louth,2020,Audrey Fergus,F,Excluded
Louth,2020,Peter Fitzpatrick,M,Elected
Louth,2020,John McGahon,M,Excluded
Louth,2020,Imelda Munster,F,Elected
Louth,2020,Ged Nash,M,Elected
Louth,2020,Fergus O'Dowd,M,Elected
Louth,2020,Cathal ï¿½ Murchï¿½,M,Excluded
Louth,2020,Ruairï¿½ ï¿½ Murchï¿½,M,Elected
Louth,2020,Eamon Sweeney,M,Excluded
Mayo,2020,Dara Calleary,M,Elected
Mayo,2020,Lisa Chambers,F,
Mayo,2020,Rose Conway-Walsh,F,Elected
Mayo,2020,Joe Daly,M,Excluded
Mayo,2020,Grï¿½inne Sinï¿½ad De Barra,F,Excluded
Mayo,2020,Alan Dillon,M,Elected
Mayo,2020,Sean Forkin,M,Excluded
Mayo,2020,Paul Lawless,M,Excluded
Mayo,2020,Gerry Loftus,M,Excluded
Mayo,2020,Stephen Manning,M,Excluded
Mayo,2020,Saoirse McHugh,F,Excluded
Mayo,2020,Michelle Mulherin,F,Excluded
Mayo,2020,Daithï¿½ ï¿½ Fallamhï¿½in,M,Excluded
Mayo,2020,Michael Ring,M,Elected
Mayo,2020,Kamal Uddin,M,Excluded
Meath East,2020,Joe Bonner,M,Excluded
Meath East,2020,Thomas Byrne,M,Elected
Meath East,2020,Regina Doherty,F,Excluded
Meath East,2020,Deirdre Geraghty-Smith,F,Excluded
Meath East,2020,Annie Hoey,F,Excluded
Meath East,2020,Andrew Keegan,M,Excluded
Meath East,2020,Sharon Keogan,M,Excluded
Meath East,2020,Seï¿½n McCabe,M,
Meath East,2020,Seamus McDonagh,M,Excluded
Meath East,2020,Helen McEntee,F,Elected
Meath East,2020,Darren O'Rourke,M,Elected
Meath East,2020,Emer Tï¿½ibï¿½n,F,Excluded
Meath West,2020,Shane Cassells,M,
Meath West,2020,Damien English,M,Elected
Meath West,2020,Noel French,M,Excluded
Meath West,2020,Johnny Guirke,M,Elected
Meath West,2020,John Malone,M,Excluded
Meath West,2020,Sï¿½amus McMenamin,M,Excluded
Meath West,2020,Ronan Moore,M,Excluded
Meath West,2020,Sarah Reilly,F,Excluded
Meath West,2020,Peadar Tï¿½ibï¿½n,M,Elected
Roscommon-Galway,2020,Aisling Dolan,F,Excluded
Roscommon-Galway,2020,Michael Fitzmaurice,M,Elected
Roscommon-Galway,2020,Thomas P Fallon,M,Excluded
Roscommon-Galway,2020,Paul Hanley,M,Excluded
Roscommon-Galway,2020,James Hope,M,Excluded
Roscommon-Galway,2020,Claire Kerrane,F,Elected
Roscommon-Galway,2020,Orla Leyden,F,Excluded
Roscommon-Galway,2020,Eugene Murphy,M,Excluded
Roscommon-Galway,2020,Denis Naughten,M,Elected
Roscommon-Galway,2020,Julie O'Donoghue,F,Excluded
Roscommon-Galway,2020,Kenny Tynan,M,Excluded
Sligo-Leitrim,2020,Declan Bree,M,Excluded
Sligo-Leitrim,2020,James Conway,M,Excluded
Sligo-Leitrim,2020,Nessa Cosgrove,F,Excluded
Sligo-Leitrim,2020,Shane Ellis,M,Excluded
Sligo-Leitrim,2020,Frankie Feighan,M,Elected
Sligo-Leitrim,2020,Blï¿½ithï¿½n Gallagher,F,Excluded
Sligo-Leitrim,2020,Marian Harkin,F,Elected
Sligo-Leitrim,2020,Martin Kenny,M,Elected
Sligo-Leitrim,2020,Marc MacSharry,M,Elected
Sligo-Leitrim,2020,Anne McCloskey,F,Excluded
Sligo-Leitrim,2020,Paul McWeeney,M,Excluded
Sligo-Leitrim,2020,Gino O'Boyle,M,Excluded
Sligo-Leitrim,2020,Mary O'Donnell,F,Excluded
Sligo-Leitrim,2020,Oisin O'Dwyer,M,Excluded
Sligo-Leitrim,2020,Bernie O'Hara,F,Excluded
Sligo-Leitrim,2020,John Perry,M,Excluded
Sligo-Leitrim,2020,Eamon Scanlon,M,
Sligo-Leitrim,2020,Thomas Walsh,M,Excluded
Sligo-Leitrim,2020,Sean Wynne,M,Excluded
Tipperary,2020,GARRET AHEARN,M,
Tipperary,2020,MARTIN BROWNE,M,Elected
Tipperary,2020,Dolores CAHILL,F,Excluded
Tipperary,2020,JACKIE CAHILL,M,Elected
Tipperary,2020,SANDRA FARRELL,F,Excluded
Tipperary,2020,IMELDA GOLDSBORO,F,Excluded
Tipperary,2020,JOE HANNIIGAN,M,Excluded
Tipperary,2020,SEAMUS HEALY,M,Excluded
Tipperary,2020,ALAN KELLY,M,Elected
Tipperary,2020,MICHAEL LOWRY,M,Elected
Tipperary,2020,MATTIE MCGRATH,M,Elected
Tipperary,2020,"MARY NEWMAN JULIAN,",F,Excluded
Tipperary,2020,ROB O'DONNELL,M,Excluded
Tipperary,2020,MARESE SKEHAN,F,Excluded
Waterford,2020,MARY BUTLER,F,Elected
Waterford,2020,DR RONAN CLEARY,M,Excluded
Waterford,2020,DAVID CULLINANE,M,Elected
Waterford,2020,JOHN CUMMINS,M,
Waterford,2020,UNA DUNPHY,F,Excluded
Waterford,2020,DAMIEN GEOGHEGAN,M,Excluded
Waterford,2020,EDDIE MULLIGAN,M,Excluded
Waterford,2020,MARC O CATHASAIGH,M,Elected
Waterford,2020,BERNADETTE PHILLIPS,F,Excluded
Waterford,2020,JOHN PRATT,M,Excluded
Waterford,2020,MATT SHANAHAN,M,Elected
Wexford,2020,JAMES BROWNE,M,Elected
Wexford,2020,Malcolm Byrne,M,Excluded
Wexford,2020,Ger Carthy,M,Excluded
Wexford,2020,Jim Codd,M,Excluded
Wexford,2020,Michael D'Arcy,M,Excluded
Wexford,2020,Brendan Howlin,M,Elected
Wexford,2020,Paul Kehoe,M,Elected
Wexford,2020,Lisa McDonald,F,Excluded
Wexford,2020,Bart James Murphy,M,Excluded
Wexford,2020,Verona Murphy,F,Elected
Wexford,2020,Johnny Mythen,M,Elected
Wexford,2020,Seanie O'Shea,M,Excluded
Wexford,2020,Paula Roseingrave,F,Excluded
Wexford,2020,Michael Sheehan,M,Excluded
Wexford,2020,Deirdre Wadding,F,Excluded
Wicklow,2020,JOE BEHAN,M,Excluded
Wicklow,2020,JOHN BRADY,M,Elected
Wicklow,2020,SHARON BRIGGS,F,Excluded
Wicklow,2020,PAT CASEY,M,Excluded
Wicklow,2020,SEAMUS CONNOR,M,Excluded
Wicklow,2020,VALERIE COX,F,Excluded
Wicklow,2020,STEPHEN DONNELLY,M,Elected
Wicklow,2020,ANDREW DOYLE,M,Excluded
Wicklow,2020,TOM DUNNE,M,Excluded
Wicklow,2020,ANTHONY FITZGERALD,M,Excluded
Wicklow,2020,EILEEN GUNNING,F,Excluded
Wicklow,2020,SIMON HARRIS,M,Elected
Wicklow,2020,CHARLIE KEDDY,M,Excluded
